Mechanical properties of oil-hardened and tempered steel wire,,,,,,Refer Table10.2 on page 402
Wire diameter d(mm),Minimum tensile strength (N/mm2),,,,,
,SW,VW,,,,
1,1760,1670,,,,
1.2,1720,1620,,,,
1.5,1670,1570,,,,
2,1620,1520,,,,
2.5,1570,1470,,,,
3,1520,1430,,,,
3.6,1480,1400,,,,
4,1480,1400,,,,
4.5,1440,1370,,,,
5,1440,1370,,,,
6,1400,1340,,,,
7,1360,1300,,,,
8,1290,,,,,
10,1250,,,,,
